t,basic_wheel3x1.Struktur.w_a[1],basic_wheel3x1.Struktur.w_a[2],basic_wheel3x1.Struktur.w_a[3]
s,rad/s,rad/s,rad/s
12.583538236146,0.0500000363585224,0.100000163059947,0.10000158366653
12.616385425664,0.0500000444325507,0.100000137405395,0.100001067185001
12.649232615182,0.0500000520857919,0.100000115723297,0.100000641923003
12.6820798047,0.0500000580488844,0.100000096981546,0.100000298503066
12.714926994218,0.0500000626844315,0.100000080514671,0.100000027029427
12.747774183736,0.0500000668413751,0.100000067026302,0.0999998186295672
12.780621373254,0.0500000697836392,0.10000005547747,0.0999996644558876
12.813468562772,0.05000007170341,0.100000045793664,0.0999995555509356
12.84631575229,0.0500000735758571,0.100000037934626,0.0999994846823483
12.879162941808,0.0500000748442835,0.100000031592071,0.0999994448530683
12.912010131326,0.0500000750762017,0.100000025928137,0.0999994297635122
12.944857320844,0.0500000755461786,0.100000021435638,0.0999994339065756
12.977704510362,0.0500000758104778,0.100000018089163,0.0999994528220823
13.01055169988,0.0500000752828407,0.100000014811924,0.0999994820063892
13.043398889398,0.0500000749606634,0.100000012259512,0.0999995183514425
13.076246078916,0.050000074704277,0.100000010516378,0.0999995592566171
13.109093268434,0.0500000739140101,0.100000009445092,0.0999996024148092
13.141940457952,0.050000073185707,0.100000007553968,0.0999996455788272
13.17478764747,0.0500000730966861,0.100000006791078,0.0999996880741156
13.207634836988,0.0500000720567351,0.100000005672655,0.0999997284781409
13.240482026506,0.0500000715825462,0.100000004622092,0.0999997660897882
13.273329216024,0.0500000717080225,0.100000004159589,0.0999998007011194
13.306176405542,0.0500000710454277,0.100000003260997,0.0999998320124974
13.33902359506,0.0500000703840154,0.100000002690204,0.0999998594270134
13.371870784578,0.0500000695438846,0.100000001487361,0.0999998830878751
13.404717974096,0.0500000697486525,0.100000001720102,0.0999999038232634
13.437565163614,0.0500000694125556,0.100000001465412,0.099999921601454
13.470412353132,0.0500000695523839,0.100000001402008,0.0999999365185473
13.50325954265,0.0500000694859305,0.100000001187296,0.0999999488482887
13.536106732168,0.0500000692026988,0.100000000835761,0.099999958646267
13.568953921686,0.0500000690664618,0.100000000380561,0.0999999664155346
13.601801111204,0.0500000692618827,0.100000000479282,0.0999999727039762
13.634648300722,0.0500000689338751,0.099999999736515,0.0999999771507136
13.66749549024,0.0500000687578471,0.0999999992459009,0.0999999801364849
13.700342679758,0.050000068871554,0.0999999990877853,0.0999999820835485
13.733189869276,0.0500000691159793,0.0999999986381309,0.099999983330757
13.766037058794,0.0500000692015898,0.0999999982151128,0.0999999837534375
13.798884248312,0.0500000692310737,0.0999999981672169,0.0999999836924862
13.83173143783,0.0500000689550368,0.0999999976549239,0.0999999831426036
13.864578627348,0.0500000689889926,0.0999999973806888,0.0999999823995836
13.897425816866,0.0500000691347041,0.0999999972497122,0.0999999815780165
13.930273006384,0.0500000691787907,0.0999999967810936,0.0999999808307664
13.963120195902,0.0500000690446465,0.0999999964121956,0.0999999796924299
